,names,scores,logfoldchanges,pvals,pvals_adj
0,NAV2,68.45951,6.2817073,0.0,0.0
1,SGIP1,67.8204,9.004379,0.0,0.0
2,KCNMA1,64.42743,7.8756943,0.0,0.0
3,MSR1,62.410625,7.3594184,0.0,0.0
4,DST,61.783012,4.32505,0.0,0.0
5,OGT,61.228027,4.682065,0.0,0.0
6,CD109,59.557125,7.725211,0.0,0.0
7,MALAT1,58.97071,1.7903235,0.0,0.0
8,EZH1,57.271866,5.7115808,0.0,0.0
9,FN1,55.76821,6.8951316,0.0,0.0
10,RBM6,55.752148,4.7782216,0.0,0.0
11,ENO2,53.460716,4.469742,0.0,0.0
12,ADARB1,52.39482,5.501251,0.0,0.0
13,RAI14,52.325737,5.455795,0.0,0.0
14,COL6A2,52.018192,8.634656,0.0,0.0
15,IGFBP5,50.64702,7.2520967,0.0,0.0
16,PTPRK,50.29617,2.5753865,0.0,0.0
17,AKT3,49.031094,6.097857,0.0,0.0
18,MAGI2,48.789864,5.410474,0.0,0.0
19,RND3,48.441734,4.3705716,0.0,0.0
20,ASAP1,47.653088,2.928053,0.0,0.0
21,MEIS2,47.481697,5.8805833,0.0,0.0
22,COL6A1,47.134483,6.699917,0.0,0.0
23,TUSC3,46.90615,6.076737,0.0,0.0
24,RBPJ,46.744385,2.757449,0.0,0.0
25,FENDRR,46.546993,8.905016,0.0,0.0
26,ZMIZ1,46.504578,3.078123,0.0,0.0
27,CA12,45.842667,5.664532,0.0,0.0
28,TANC2,45.76974,4.8528314,0.0,0.0
29,PRKG1,45.648186,4.0822973,0.0,0.0
30,GBE1,45.57352,2.6682398,0.0,0.0
31,FAM219A,44.648228,4.902095,0.0,0.0
32,TRIO,44.64329,2.1131775,0.0,0.0
33,PCBP3,44.0617,6.685752,0.0,0.0
34,FNDC3B,44.043503,2.2888465,0.0,0.0
35,CDH12,43.6828,3.8485503,0.0,0.0
36,MYOF,42.555435,2.1801844,0.0,0.0
37,SOD2,42.49521,4.3508883,0.0,0.0
38,KYNU,42.29342,6.59661,0.0,0.0
39,ELL2,42.149376,3.9727786,0.0,0.0
40,MACF1,42.042694,2.241964,0.0,0.0
41,KAZN,41.82062,3.527897,0.0,0.0
42,DNER,41.76664,5.856246,0.0,0.0
43,MMP2,41.51551,7.2123084,0.0,0.0
44,LOX,41.415924,7.8466167,0.0,0.0
45,FGFR1,41.128872,7.4046497,0.0,0.0
46,SLC6A6,40.759193,2.5859866,0.0,0.0
47,LOXL2,40.74237,5.9173985,0.0,0.0
48,ENSG00000287474,40.332504,6.3164988,0.0,0.0
49,PRR16,40.107204,6.593076,0.0,0.0
50,SQSTM1,39.880337,3.1182625,0.0,0.0
51,UBE2E2,39.844257,4.842607,0.0,0.0
52,ARHGAP22,39.44841,6.6179786,0.0,0.0
53,NEAT1,39.37339,1.360582,0.0,0.0
54,ENSG00000243276,39.219105,6.3821945,0.0,0.0
55,SAMD4A,38.98159,3.769907,0.0,0.0
56,NR3C1,38.587822,5.490966,0.0,0.0
57,LRP1,38.554047,1.8799641,0.0,0.0
58,SPAG9,38.53989,2.795053,0.0,0.0
59,ENSG00000288088,38.493267,7.47195,0.0,0.0
60,GYS1,38.39786,3.5793102,0.0,0.0
61,ZEB2,38.343098,7.647076,0.0,0.0
62,ADAMTS9-AS2,37.849182,5.8649135,0.0,0.0
63,RTN4,37.84695,2.8465831,0.0,0.0
64,USP4,37.521458,4.2517824,4.1159601225957813e-308,1.2978737807138472e-305
65,TGFBI,37.48198,3.670725,1.8110331179398564e-307,5.65780161104544e-305
66,XACT,37.32556,4.5869603,6.318988689109828e-305,1.9559878749593176e-302
67,C1S,36.79647,4.1420827,2.102409527992049e-296,6.333508703076049e-294
68,NBPF26,36.746502,2.3969965,1.3222540149835342e-295,3.948039864207473e-293
69,TNS1,36.740543,5.144245,1.6460891979416384e-295,4.871846450750077e-293
70,MYO9B,36.42006,2.904927,2.049728130634965e-290,5.961881648933079e-288
71,ARHGAP24,36.31755,4.2283974,8.550112859694046e-289,2.4656479306502317e-286
72,MTMR14,36.298084,4.383584,1.7344316044812917e-288,4.959298502982948e-286
73,HIP1,36.268456,3.867078,5.0863191659063796e-288,1.4421210811569852e-285
74,CACNA1A,36.085304,3.7713377,3.85641672349399e-285,1.0578495955340425e-282
75,QKI,36.05693,3.667054,1.0740352215646496e-284,2.8990358700473023e-282
76,OGA,35.903465,2.0297682,2.6972218066655623e-282,7.222560615626672e-280
77,AHNAK2,35.543476,6.317093,1.047889792378072e-276,2.762171999596574e-274
78,ENSG00000287172,35.52818,6.6009355,1.805424159846274e-276,4.722093887845991e-274
79,DIP2C,35.469826,2.218142,1.4352113857996013e-275,3.724925550529119e-273
80,PTTG1IP,35.442787,2.9728951,3.74637770257797e-275,9.649067456868756e-273
81,MEF2A,35.441055,2.540028,3.9840370531449e-275,1.0183440164629464e-272
82,LRP1B,35.14629,4.6114926,1.3244499188971202e-270,3.261820457196265e-268
83,HIVEP2,35.081966,3.3209553,1.2699069187100396e-269,3.082493484696168e-267
84,SMARCC1,34.950165,2.7985525,1.2874621960198755e-267,3.05908271082469e-265
85,ITGB1,34.88227,2.0340748,1.3807268088993619e-266,3.257742834424089e-264
86,LINC01411,34.87826,5.2601757,1.588261233544561e-266,3.7213843069301035e-264
87,PDE4DIP,34.722343,3.050885,3.624946968473757e-264,8.434876601124452e-262
88,CLMP,34.714596,5.5289583,4.745049743693493e-264,1.09656149556314e-261
89,ANTXR1,34.56139,6.3142643,9.612886770795786e-262,2.2063863921540804e-259
90,LAMA3,34.513012,4.1760774,5.117720330233352e-261,1.1667019185275223e-258
91,BNIP3,34.319084,2.9930992,4.0746576868380966e-258,9.165263356927825e-256
92,PDGFC,34.210457,3.3894022,1.6903233697317383e-256,3.776921224817805e-254
93,OXR1,34.05565,2.6864173,3.347851786971602e-254,7.431349953448807e-252
94,ZEB1,33.72689,5.1791844,2.3330872094250325e-249,5.046048874743628e-247
95,COL5A2,33.698605,6.998631,6.059124349136252e-249,1.3021328378334849e-246
96,ATP2B1,33.496902,3.4071047,5.346925429068439e-246,1.1346243017406865e-243
97,DUXAP9,33.399418,3.108691,1.3979725662157815e-244,2.9479746490075294e-242
98,CD44,33.222412,2.5786653,5.110661325240098e-242,1.0644056365037093e-239
99,BASP1-AS1,33.056026,7.291174,1.2743378328307747e-239,2.6058277866491114e-237
100,OSMR,32.96908,5.870929,2.254177355940543e-238,4.581683372857466e-236
101,VIM,32.843246,6.333307,1.422206156913921e-236,2.839363061199745e-234
102,LIMCH1,32.819138,2.3917885,3.140603209403567e-236,6.233173663839784e-234
103,DTNA,32.777287,3.226933,1.2407640366628526e-235,2.4481507951464704e-233
104,ASPH,32.747547,1.7359161,3.29045229677883e-235,6.4546430519370775e-233
105,TMEM165,32.723618,2.273172,7.207713627284616e-235,1.405712472743254e-232
106,PLOD2,32.683403,3.1234083,2.6883356903058826e-234,5.1831112109097416e-232
107,COL6A3,32.680443,3.000884,2.961741531741726e-234,5.677793140963968e-232
108,NPC1,32.65466,2.6237917,6.88165425122738e-234,1.3117910420136262e-231
109,PJA2,32.40325,2.9711368,2.469942156125403e-230,4.655633985903413e-228
110,NAMPT,32.197586,3.7688942,1.9076932251446636e-227,3.575864967576719e-225
111,LINC02745,32.196728,3.8424315,1.961295431117923e-227,3.656028057785565e-225
112,MSC-AS1,32.109932,6.522139,3.204205454504036e-226,5.875537610595988e-224
113,PAM,32.10085,2.0005393,4.289937688060565e-226,7.823918788927755e-224
114,SMTN,31.952656,3.0150557,4.962549935367515e-224,9.001958861252686e-222
115,AMPD3,31.771532,2.6689036,1.601289889288675e-221,2.873804301308505e-219
116,ENSG00000259560,31.706697,5.9391785,1.2561900797528693e-220,2.2425319201514184e-218
117,PDE4DIPP2,31.692444,3.4653866,1.9745976905698255e-220,3.506469793675048e-218
118,OPTN,31.585012,2.6185117,5.930687379303408e-219,1.0367947781227823e-216
