,names,scores,logfoldchanges,pvals,pvals_adj
0,DACH1,49.8374,2.699475,0.0,0.0
1,KANK1,41.079906,1.8887291,0.0,0.0
2,SMOC2,30.709036,2.5362515,4.311327869404312e-207,7.656010648089551e-204
3,PBX1,26.375708,1.7342557,2.603577943371434e-153,3.029128269288006e-150
4,CDK6,25.820549,1.3998189,5.213099643411332e-147,5.173234763785244e-144
5,STARD13,24.824617,1.44438,4.862355518806967e-136,4.206560902680694e-133
6,EPHB2,22.341793,1.2861377,1.4509799034388796e-110,9.236992819250527e-108
7,PDZRN3,21.262255,1.9865483,2.539211600356064e-100,1.4044753999346492e-97
8,CERS6,21.248472,0.6715759,3.405644032489506e-100,1.8533295105838055e-97
9,TRPM3,21.034492,3.5435157,3.17142490064874e-98,1.597072778326694e-95
10,PRKDC,19.550188,1.3523772,4.110064442113928e-85,1.6124834218246968e-82
11,WWOX,18.959276,1.5462576,3.7020672060457315e-80,1.3148183950735051e-77
12,ELAPOR1,17.390123,1.9217763,9.802353475360145e-68,2.667188760150414e-65
13,CHD7,16.8453,0.89904416,1.1358912744566689e-63,2.737497971440572e-61
14,ITPR2,16.589157,1.0678296,8.348284324531288e-62,1.9292541993814084e-59
15,MT-ATP6,16.578588,0.7016963,9.953782324597245e-62,2.28463003831232e-59
16,DSP,16.387413,0.4953456,2.352486122452737e-60,5.327039045070829e-58
17,SOX4,16.266167,1.3159914,1.715665921457373e-59,3.859104545998118e-57
18,SHISA6,16.046774,1.0290015,6.021359470356386e-58,1.2777400536466948e-55
19,ARL15,15.809323,0.9872106,2.68331998161084e-56,5.554307741076671e-54
20,SLC12A2,15.659877,0.8952619,2.84449525907328e-55,5.645486473007791e-53
21,NKD1,15.559574,1.682306,1.3700737169246734e-54,2.655057022709567e-52
22,CHRNA7,15.053967,1.7614708,3.251339480827659e-51,5.773694425427644e-49
23,RFX3,15.009,0.97217566,6.410696167437185e-51,1.1265360263497688e-48
24,ARID5B,14.797488,0.53874135,1.5205464317475279e-49,2.5523998312020695e-47
25,CCSER2,14.720084,1.0520444,4.790647740186448e-49,7.846429842421881e-47
26,TRAPPC9,14.5443945,0.87688386,6.338901958094984e-48,1.0041058782447171e-45
27,APBB2,14.525401,0.7260771,8.365105434601502e-48,1.318872230670349e-45
28,CRYBG1,14.439765,0.99443185,2.908308865737409e-47,4.5428861634250086e-45
29,LGR5,14.051519,3.9648511,7.539917785345774e-45,1.0871659234084035e-42
30,CASC15,13.801332,1.840668,2.5018409938107206e-43,3.4595129152120374e-41
31,MT-ND1,13.761478,0.46380976,4.3454924345068006e-43,5.984363866949365e-41
32,EPB41L2,13.652159,0.61295384,1.959861858660242e-42,2.6450295644478627e-40
33,PIK3R1,13.558354,1.095972,7.070495516765004e-42,9.392067666757923e-40
34,CDKAL1,13.54057,0.8760558,9.008725752940431e-42,1.187321901969571e-39
35,MIR924HG,13.140537,1.257771,1.9285136846889153e-39,2.392207783875147e-37
36,PLCB4,13.112556,0.90732133,2.7903089830979296e-39,3.4234554578081505e-37
37,PLCB1,12.87449,2.2272792,6.265205162032396e-38,7.289242143688725e-36
38,PROX1,12.86201,2.4354944,7.363667015348977e-38,8.5085659280094e-36
39,FARS2,12.532366,0.9521316,4.9658792378473775e-36,5.439894983278263e-34
40,LINC02086,12.505946,1.197345,6.926980019134574e-36,7.539235672438726e-34
41,CELF2,12.330855,0.8913107,6.178750729526146e-35,6.618128559181339e-33
42,CRACD,12.178053,0.82873327,4.06881554941022e-34,4.2110992833466505e-32
43,NRXN3,12.136953,1.0563653,6.728511154364606e-34,6.921340437447006e-32
44,PSD3,12.136128,1.099185,6.796634088856975e-34,6.970165171976728e-32
45,DNAH14,12.07149,0.92168874,1.4940413869762473e-33,1.509250191514329e-31
46,CHRM3,12.034379,1.2092842,2.3438970784006406e-33,2.35366331622731e-31
47,HSP90AA1,12.010895,1.034604,3.114562425044712e-33,3.1090336160061707e-31
48,CTNNB1,12.006611,0.96994257,3.280123114300364e-33,3.2646417072712173e-31
49,MT-CYB,11.86952,0.3748996,1.7044144375785475e-32,1.647763413292269e-30
50,RASAL2,11.855035,0.91661227,2.026405960184998e-32,1.942356167518234e-30
51,SHTN1,11.849162,1.2083073,2.1735330316074844e-32,2.0774788806355956e-30
52,MT-RNR2,11.842609,0.1433933,2.3502398797087623e-32,2.2337209448274264e-30
53,PTPRK,11.815773,0.5056077,3.2356078668098137e-32,3.0579666505928042e-30
54,EXOC4,11.723562,0.55690277,9.652573375646854e-32,8.971840928218315e-30
55,TOX,11.695497,2.6168451,1.343984905197434e-31,1.2423575534619569e-29
56,STAG1,11.658315,0.6858087,2.0811997397115393e-31,1.9081434570072646e-29
57,SAMD5,11.566335,1.005059,6.103503157614413e-31,5.565735041565143e-29
58,MT-ND2,11.558196,0.39797524,6.71038477423948e-31,6.10265181355364e-29
59,VPS13A,11.557412,0.5610573,6.7718830273225e-31,6.142025089834977e-29
60,LINC01515,11.40097,0.98537344,4.1348426037279526e-30,3.6142380686471795e-28
61,MAP7,11.375083,0.79798025,5.564969432071146e-30,4.826788396865822e-28
62,NAALADL2,11.239764,1.5680456,2.6007533565407334e-29,2.1937354562421087e-27
63,ELOVL7,11.236302,1.283904,2.70474698276953e-29,2.2757646682953603e-27
64,KLF12,11.222513,1.197062,3.1615735211335704e-29,2.6403834307684817e-27
