,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,lr_probs,cellchat_pvals,specificity_rank,magnitude_rank
247,Fibroblast_DMSO_CAF,Fibroblast_DMSO_CAF,FN1,CD44,2.1755388,0.0,4.449657,1.6193558,2.1784477,0.0772784,0.96674037,0.14098192709132398,0.0,0.0006935413091925821,1.663678956813519e-11
198,Fibroblast_DMSO_CAF,Fibroblast_DMSO_CAF,COL6A3,CD44,2.146292,0.0,4.353536,1.6987901,2.2316747,0.09103432,0.9663875,0.1389008047213235,0.0,0.00030901094106213574,1.3308420273901666e-10
876,Fibroblast_DMSO_CAF,Fibroblast_DMSO_PDO_CAF,PLAT,LRP1,2.0292733,0.0,4.084959,1.4822036,1.9445516,0.078812726,0.9653378,0.1349083796518725,0.0,0.002663092852818968,4.491250501487122e-10
419,Fibroblast_DMSO_CAF,Fibroblast_DMSO_CAF,PLAT,LRP1,1.9641404,0.0,3.8442755,1.4265356,1.7870917,0.074169114,0.96430737,0.12550159023428775,0.0,0.0039530696571611346,1.9806258822100805e-09
6407,Fibroblast_SN38_CAF,Fibroblast_DMSO_PDO_CAF,PLAT,LRP1,1.9395144,0.0,3.6880624,1.3645682,2.113151,0.07115524,0.96358645,0.12100144827682915,0.0,0.00555563036327387,3.5921811828984427e-09
1786,Fibroblast_DMSO_CAF,Fibroblast_SN38_PDO_CAF,PLAT,LRP1,1.9002678,0.0,3.6082485,1.3719438,1.7847527,0.06961536,0.9632007,0.12212312269855093,0.0,0.005364421539109963,3.868048257350297e-09
760,Fibroblast_DMSO_CAF,Fibroblast_DMSO_PDO_CAF,FN1,CD44,2.0190885,0.0,3.602381,1.4605265,2.0818374,0.06256353,0.96317184,0.11259261850828749,0.0,0.0032274318034639085,5.70381704526018e-09
6054,Fibroblast_SN38_CAF,Fibroblast_DMSO_CAF,PLAT,LRP1,1.8743817,0.0,3.4707637,1.3089001,1.9556911,0.06696281,0.962506,0.11243831733501654,0.0,0.0077224737913446926,8.513505273768153e-09
721,Fibroblast_DMSO_CAF,Fibroblast_DMSO_PDO_CAF,COL6A3,CD44,1.9898417,0.0,3.5245628,1.5399607,2.1350644,0.07370014,0.96278256,0.11087647733495665,0.0,0.0016950445648554885,1.2120846630549256e-08
1664,Fibroblast_DMSO_CAF,Fibroblast_SN38_PDO_CAF,FN1,CD44,2.0053406,0.0,3.5279279,1.4465699,2.0633159,0.061270487,0.9627996,0.11045421657106422,0.0,0.0035295727083512855,1.6625411536312202e-08
138,Fibroblast_DMSO_CAF,Fibroblast_DMSO_CAF,COL1A1,CD44,1.8263657,0.0,3.3020866,1.9921104,2.1678236,0.1209657,0.9615966,0.11013265409750561,0.0,5.3490352361232875e-05,2.21267400703475e-08
11037,PDO_DMSO_PDO,Fibroblast_DMSO_PDO_CAF,APP,LRP1,1.8232782,0.0,3.1740875,0.54208744,0.8908731,0.03139931,0.9608599,0.10945882358484753,0.0,0.04541728028297592,2.8724341970527458e-08
7110,Fibroblast_SN38_CAF,Fibroblast_SN38_PDO_CAF,PLAT,LRP1,1.8105091,0.0,3.2576692,1.2543085,1.9533521,0.06285149,0.96134573,0.10936752977090909,0.0,0.011390061736628706,3.651769663330621e-08
582,Fibroblast_DMSO_CAF,Fibroblast_DMSO_PDO_CAF,APP,LRP1,1.7898331,0.0,3.0261998,0.51212037,0.58033895,0.029936343,0.9599528,0.10901017562833253,0.0,0.05013238229354063,4.560625311371967e-08
1627,Fibroblast_DMSO_CAF,Fibroblast_SN38_PDO_CAF,COL6A3,CD44,1.9760938,0.0,3.4517183,1.5260042,2.1165428,0.072176926,0.9624066,0.1087666741113473,0.0,0.0018789897021727622,5.6089430125385584e-08
14765,PDO_SN38_PDO_CAF,Fibroblast_DMSO_PDO_CAF,HSPG2,LRP1,1.8439887,0.0,3.2656658,0.5965414,0.8997419,0.039410755,0.96139127,0.10779343657175597,0.0,0.04541728028297592,6.80666160405035e-08
3494,Fibroblast_DMSO_PDO_CAF,Fibroblast_DMSO_CAF,FN1,CD44,1.784125,0.0,3.1632612,1.2360778,1.692131,0.054937217,0.96079564,0.10719993655736901,0.0,0.012990924040162471,8.16371688898547e-08
888,Fibroblast_DMSO_CAF,Fibroblast_DMSO_PDO_CAF,PSAP,LRP1,1.8571441,0.0,3.3238368,0.92799604,1.257122,0.0478015,0.9617176,0.10416490064376766,0.0,0.027645363681240452,9.690041636280241e-08
13458,PDO_SN38_PDO,Fibroblast_DMSO_PDO_CAF,HSPG2,LRP1,1.7579956,0.0,2.8854206,0.52065784,0.9084009,0.03482187,0.95902705,0.10168888176213553,0.0,0.04541728028297592,1.1395565580729155e-07
